Город,Численность_населения_города,Административный_центр,Город_миллионник,Крупнейший_город,Крупный_город,Большой_город,Средний_город
Краснотурьинск,59701.0,0,0,0,0,0,1
Красноуральск,24973.0,0,0,0,0,0,0
Красноуфимск,39762.0,0,0,0,0,0,0
Красноярск,973891.0,1,1,0,0,0,0
Красный Кут,14420.0,0,0,0,0,0,0
Красный Сулин,40866.0,0,0,0,0,0,0
Красный Холм,5608.0,0,0,0,0,0,0
Кремёнки,11617.0,0,0,0,0,0,0
Кронштадт,42999.0,0,0,0,0,0,0
Кропоткин,80743.0,0,0,0,0,0,1
Крымск,57370.0,0,0,0,0,0,1
Кстово,66641.0,0,0,0,0,0,1
Кубинка,22918.0,0,0,0,0,0,0
Кувандык,26176.0,0,0,0,0,0,0
Кувшиново,10008.0,0,0,0,0,0,0
Кудымкар,28984.0,0,0,0,0,0,0
Кузнецк,88883.0,0,0,0,0,0,1
Куйбышев,45298.0,0,0,0,0,0,0
Кулебаки,35762.0,0,0,0,0,0,0
Кумертау,62854.0,0,0,0,0,0,1
Кунгур,66110.0,0,0,0,0,0,1
Купино,14893.0,0,0,0,0,0,0
Курган,333640.0,1,0,0,1,0,0
Курганинск,47974.0,0,0,0,0,0,0
Курильск,2070.0,0,0,0,0,0,0
Курлово,6791.0,0,0,0,0,0,0
Куровское,21821.0,0,0,0,0,0,0
Курск,414595.0,1,0,0,1,0,0
Куртамыш,17098.0,0,0,0,0,0,0
Курчатов,42691.0,0,0,0,0,0,0
Куса,18792.0,0,0,0,0,0,0
Кушва,30166.0,0,0,0,0,0,0
Кызыл,109906.0,1,0,0,0,1,0
Кыштым,38950.0,0,0,0,0,0,0
Кяхта,20041.0,0,0,0,0,0,0
Лабинск,62822.0,0,0,0,0,0,1
Лабытнанги,26948.0,0,0,0,0,0,0
Лагань,14323.0,0,0,0,0,0,0
Ладушкин,3788.0,0,0,0,0,0,0
Лаишево,7735.0,0,0,0,0,0,0
Лакинск,15707.0,0,0,0,0,0,0
Лангепас,41675.0,0,0,0,0,0,0
Лахденпохья,7818.0,0,0,0,0,0,0
Лебедянь,20991.0,0,0,0,0,0,0
Лениногорск,64145.0,0,0,0,0,0,1
Ленинск,15527.0,0,0,0,0,0,0
Ленинск-Кузнецкий,101666.0,0,0,0,0,1,0
Ленск,24955.0,0,0,0,0,0,0
Лермонтов,22540.0,0,0,0,0,0,0
Лесной,50364.0,0,0,0,0,0,1
Лесозаводск,36975.0,0,0,0,0,0,0
Лесосибирск,61146.0,0,0,0,0,0,1
Ливны,50430.0,0,0,0,0,0,1
Ликино-Дулёво,31331.0,0,0,0,0,0,0
Липецк,508124.0,1,0,1,0,0,0
Липки,8741.0,0,0,0,0,0,0
Лиски,55864.0,0,0,0,0,0,1
Лихославль,12259.0,0,0,0,0,0,0
Лобня,74350.0,0,0,0,0,0,1
Лодейное Поле,21053.0,0,0,0,0,0,0
Ломоносов,43002.0,0,0,0,0,0,0
Лосино-Петровский,22550.0,0,0,0,0,0,0
Луга,36409.0,0,0,0,0,0,0
Луза,11262.0,0,0,0,0,0,0
Лукоянов,14949.0,0,0,0,0,0,0
Луховицы,29849.0,0,0,0,0,0,0
Лысково,21882.0,0,0,0,0,0,0
Лысьва,65931.0,0,0,0,0,0,1
Лыткарино,55147.0,0,0,0,0,0,1
Льгов,21452.0,0,0,0,0,0,0
Любань,4188.0,0,0,0,0,0,0
Люберцы,171978.0,0,0,0,0,1,0
Любим,5553.0,0,0,0,0,0,0
Людиново,40550.0,0,0,0,0,0,0
Лянтор,38922.0,0,0,0,0,0,0
Магадан,95925.0,1,0,0,0,0,1
Магас,2505.0,1,0,0,0,0,0
Магнитогорск,408401.0,0,0,0,1,0,0
Майкоп,144246.0,1,0,0,0,1,0
Майский,26755.0,0,0,0,0,0,0
Макаров,6705.0,0,0,0,0,0,0
Макарьев,7114.0,0,0,0,0,0,0
Макушино,8337.0,0,0,0,0,0,0
Малая Вишера,12461.0,0,0,0,0,0,0
Малгобек,31076.0,0,0,0,0,0,0
Малмыж,8265.0,0,0,0,0,0,0
Малоархангельск,3614.0,0,0,0,0,0,0
Малоярославец,30401.0,0,0,0,0,0,0
Мамадыш,14432.0,0,0,0,0,0,0
Мамоново,7757.0,0,0,0,0,0,0
Мантурово,17479.0,0,0,0,0,0,0
Мариинск,40522.0,0,0,0,0,0,0
Мариинский Посад,9089.0,0,0,0,0,0,0
Маркс,31535.0,0,0,0,0,0,0
Махачкала,577990.0,1,0,1,0,0,0
Мглин,7916.0,0,0,0,0,0,0
Мегион,49471.0,0,0,0,0,0,0
Медвежьегорск,15536.0,0,0,0,0,0,0
Медногорск,27290.0,0,0,0,0,0,0
Медынь,8298.0,0,0,0,0,0,0
Межгорье,17353.0,0,0,0,0,0,0
Междуреченск,101995.0,0,0,0,0,1,0
Мезень,3599.0,0,0,0,0,0,0
Меленки,15208.0,0,0,0,0,0,0
Мелеуз,61408.0,0,0,0,0,0,1
Менделеевск,22075.0,0,0,0,0,0,0
Мензелинск,16474.0,0,0,0,0,0,0
Мещовск,4101.0,0,0,0,0,0,0
Миасс,151812.0,0,0,0,0,1,0
Микунь,10732.0,0,0,0,0,0,0
Миллерово,36493.0,0,0,0,0,0,0
Минеральные Воды,76715.0,0,0,0,0,0,1
Минусинск,71171.0,0,0,0,0,0,1
Миньяр,10195.0,0,0,0,0,0,0
Мирный,33719.0,0,0,0,0,0,0
Михайлов,11783.0,0,0,0,0,0,0
Михайловка,59153.0,0,0,0,0,0,1
Михайловск,40436.0,0,0,0,0,0,1
Мичуринск,98758.0,0,0,0,0,0,1
Могоча,13228.0,0,0,0,0,0,0
Можайск,31388.0,0,0,0,0,0,0
Можга,47959.0,0,0,0,0,0,0
Моздок,38748.0,0,0,0,0,0,0
Мончегорск,45381.0,0,0,0,0,0,0
Морозовск,27644.0,0,0,0,0,0,0
Моршанск,41550.0,0,0,0,0,0,0
Мосальск,4285.0,0,0,0,0,0,0
Москва,11514330.0,1,1,0,0,0,0
Московский,17363.0,0,0,0,0,0,0
Муравленко,33401.0,0,0,0,0,0,0
Мураши,6752.0,0,0,0,0,0,0
Мурманск,307664.0,1,0,0,1,0,0
Муром,116078.0,0,0,0,0,1,0
